learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,0,0.238,0.877,1,0.748688,0
2,8,1,0.201,0.881,1,0.229584,0
3,10,8,0.215,0.875,1,0.424774,3
3,10,9,0.215,0.875,1,0.784027,0
4,13,5,0.229,0.865,1,0.500977,6
4,13,7,0.229,0.865,1,0.819397,4
4,13,11,0.229,0.865,1,0.177277,2
5,9,4,0.22,0.871,1,0.879028,6
6,19,3,0.22,0.863,1,0.780243,6
6,19,10,0.22,0.863,1,0.453613,1
6,19,15,0.22,0.863,1,0.007965,5
7,8,0,0.209,0.866,1,0.810547,8
8,10,0,0.223,0.887,1,0.01004,3
8,10,2,0.223,0.887,1,0.959076,9
8,10,4,0.223,0.887,1,0.341339,1
8,10,6,0.223,0.887,1,0.595856,0
9,13,3,0.199,0.871,1,0.998199,9
9,13,5,0.199,0.871,1,0.656097,1
9,13,6,0.199,0.871,1,0.496368,0
9,13,12,0.199,0.871,1,0.194214,4
10,7,4,0.2,0.876,1,0.231995,4
12,19,0,0.221,0.877,1,0.996674,2
12,19,3,0.221,0.877,1,0.165344,1
12,19,5,0.221,0.877,1,0.397827,0
12,19,16,0.221,0.877,1,0.762451,4
12,19,18,0.221,0.877,1,0.142731,6
14,7,1,0.219,0.871,1,0.185547,4
17,16,5,0.22,0.885,1,0.031128,2
17,16,14,0.22,0.885,1,0.400726,4
18,10,1,0.213,0.871,1,0.895416,4
18,10,3,0.213,0.871,1,0.601532,0
18,10,5,0.213,0.871,1,0.671722,6
18,10,6,0.213,0.871,1,0.150024,9
18,10,7,0.213,0.871,1,0.515259,2
19,5,0,0.203,0.874,1,0.364075,4
19,5,2,0.203,0.874,1,0.322815,0
19,5,3,0.203,0.874,1,0.211823,3
20,16,3,0.203,0.875,1,0.0961,0
20,16,4,0.203,0.875,1,0.593323,9
20,16,7,0.203,0.875,1,0.874542,4
20,16,8,0.203,0.875,1,0.435791,5
20,16,10,0.203,0.875,1,0.569824,8
20,16,12,0.203,0.875,1,0.623505,2
21,6,1,0.224,0.868,1,0.139191,0
21,6,3,0.224,0.868,1,0.777679,4
21,6,5,0.224,0.868,1,0.48465,6
24,12,5,0.204,0.882,1,0.701508,6
24,12,6,0.204,0.882,1,0.846161,5
24,12,7,0.204,0.882,1,0.813721,8
24,12,9,0.204,0.882,1,0.079742,3
25,15,10,0.222,0.878,1,0.844635,9
26,20,2,0.21,0.877,1,0.276093,9
26,20,4,0.21,0.877,1,0.124664,0
26,20,14,0.21,0.877,1,0.740906,4
27,10,6,0.197,0.884,1,0.801178,4
27,10,8,0.197,0.884,1,0.753723,6
28,20,1,0.222,0.858,1,0.6185,6
29,20,0,0.225,0.848,1,0.264282,9
29,20,1,0.225,0.848,1,0.473053,4
29,20,2,0.225,0.848,1,0.174164,5
29,20,4,0.225,0.848,1,0.930206,7
29,20,9,0.225,0.848,1,0.552368,6
30,13,9,0.214,0.883,1,0.388306,7
30,13,12,0.214,0.883,1,0.716797,1
32,15,0,0.224,0.892,1,0.926086,1
33,22,2,0.215,0.885,1,0.734009,1
33,22,16,0.215,0.885,1,0.338013,7
33,22,18,0.215,0.885,1,0.590851,6
33,22,20,0.215,0.885,1,0.772675,9
34,3,1,0.204,0.891,1,0.819641,4
34,3,2,0.204,0.891,1,0.860962,0
35,23,8,0.211,0.883,1,0.60321,4
35,23,9,0.211,0.883,1,0.333008,6
35,23,14,0.211,0.883,1,0.62381,2
35,23,18,0.211,0.883,1,0.487488,0
36,19,2,0.226,0.864,1,0.869629,0
36,19,3,0.226,0.864,1,0.176605,5
36,19,6,0.226,0.864,1,0.153137,7
36,19,7,0.226,0.864,1,0.794891,1
36,19,8,0.226,0.864,1,0.508118,6
36,19,10,0.226,0.864,1,0.846191,3
37,9,0,0.204,0.862,1,0.890381,1
37,9,3,0.204,0.862,1,0.257568,0
37,9,5,0.204,0.862,1,0.563538,6
37,9,8,0.204,0.862,1,0.412384,4
38,27,3,0.186,0.87,1,0.049286,6
38,27,8,0.186,0.87,1,0.777985,1
38,27,18,0.186,0.87,1,0.808014,2
38,27,25,0.186,0.87,1,0.135223,3
39,5,1,0.233,0.878,1,0.891724,1
40,16,11,0.217,0.889,1,0.465118,1
41,17,11,0.222,0.866,1,0.265808,6
41,17,14,0.222,0.866,1,0.906403,5
41,17,16,0.222,0.866,1,0.56662,1
42,3,0,0.208,0.883,1,0.211243,5
42,3,1,0.208,0.883,1,0.596985,1
43,19,1,0.208,0.866,1,0.725159,5
43,19,3,0.208,0.866,1,0.348572,1
43,19,5,0.208,0.866,1,0.820831,6
43,19,8,0.208,0.866,1,0.791626,7
43,19,16,0.208,0.866,1,0.382141,0
43,19,17,0.208,0.866,1,0.655334,4
44,18,0,0.229,0.874,1,0.712402,6
44,18,3,0.229,0.874,1,0.023468,2
44,18,15,0.229,0.874,1,0.798126,1
44,18,16,0.229,0.874,1,0.684479,7
44,18,17,0.229,0.874,1,0.356171,5
45,23,0,0.212,0.857,1,0.368835,8
45,23,1,0.212,0.857,1,0.834564,2
45,23,4,0.212,0.857,1,0.370728,5
45,23,7,0.212,0.857,1,0.612701,4
45,23,9,0.212,0.857,1,0.915833,0
45,23,12,0.212,0.857,1,0.465057,9
45,23,14,0.212,0.857,1,0.733398,3
45,23,18,0.212,0.857,1,0.451416,1
45,23,21,0.212,0.857,1,0.974915,6
46,15,6,0.215,0.874,1,0.579254,0
46,15,7,0.215,0.874,1,0.61908,4
46,15,9,0.215,0.874,1,0.639008,9
46,15,10,0.215,0.874,1,0.490936,8
46,15,14,0.215,0.874,1,0.035156,7
47,10,5,0.204,0.889,1,0.561157,4
47,10,7,0.204,0.889,1,0.200165,2
47,10,9,0.204,0.889,1,0.858459,1
48,11,9,0.235,0.876,1,0.271759,6
48,11,10,0.235,0.876,1,0.679901,5
49,29,0,0.196,0.879,1,0.227234,6
49,29,3,0.196,0.879,1,0.363037,5
49,29,6,0.196,0.879,1,0.305573,4
49,29,7,0.196,0.879,1,0.597137,9
49,29,9,0.196,0.879,1,0.386353,3
49,29,13,0.196,0.879,1,0.353577,1
49,29,14,0.196,0.879,1,0.401672,7
50,11,0,0.227,0.872,1,0.210175,5
50,11,5,0.227,0.872,1,0.202362,8
50,11,6,0.227,0.872,1,0.863251,2
50,11,7,0.227,0.872,1,0.926331,0
