learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,5,0,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.096602198
2,8,5,1,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.140258911
2,8,5,2,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.388419612
2,8,5,3,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.329171255
2,8,5,4,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.125030617
2,8,5,5,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.395070465
2,8,5,6,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.154622824
2,8,5,7,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.410689314
2,8,5,8,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.369983938
2,8,5,9,0.201,0.881,1,0.192993164,0.148406982,0.074829102,0,0.121731582
2,8,6,0,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.298301099
2,8,6,1,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.320129455
2,8,6,2,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.444209806
2,8,6,3,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.414585627
2,8,6,4,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.312515309
2,8,6,5,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.447535233
2,8,6,6,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.327311412
2,8,6,7,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.455344657
2,8,6,8,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.434991969
2,8,6,9,0.201,0.881,1,0.163238525,0.190155029,0.402160645,2,0.310865791
3,10,8,0,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.399150549
3,10,8,1,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.410064728
3,10,8,2,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.472104903
3,10,8,3,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.457292814
3,10,8,4,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.406257654
3,10,8,5,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.473767616
3,10,8,6,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.413655706
3,10,8,7,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.477672329
3,10,8,8,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.467495984
3,10,8,9,0.215,0.875,1,0.118530273,0.190673828,0.962005615,2,0.405432896
4,13,0,0,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.632557062
4,13,0,1,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.644453388
4,13,0,2,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.683933994
4,13,0,3,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.618283798
4,13,0,4,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.642812908
4,13,0,5,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.544075478
4,13,0,6,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.662223563
4,13,0,7,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.654124249
4,13,0,8,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.578690359
4,13,0,9,0.229,0.865,1,0.063659668,0.249511719,0.256713867,3,0.606877999
4,13,5,0,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.691507542
4,13,5,1,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.806826863
4,13,5,2,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.834302934
4,13,5,3,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.804713238
4,13,5,4,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.705720973
4,13,5,5,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.752337386
4,13,5,6,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.817057212
4,13,5,7,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.813215011
4,13,5,8,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.750930767
4,13,5,9,0.229,0.865,1,0.078643799,0.112426758,0.595336914,4,0.778598285
4,13,7,0,0.229,0.865,1,0.206665039,0.401763916,0.58480835,4,0.840428771
4,13,7,1,0.229,0.865,1,0.206665039,0.401763916,0.58480835,4,0.898118222
4,13,7,2,0.229,0.865,1,0.206665039,0.401763916,0.58480835,4,0.905436293
4,13,7,3,0.229,0.865,1,0.206665039,0.401763916,0.58480835,4,0.8957943
4,13,7,4,0.229,0.865,1,0.206665039,0.401763916,0.58480835,4,0.714264296
